,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
47,0.187,0.855,-4.316,0.0624,0.000531,0.0204,0.361,0.257,160.892,0MHHAIjPAd3OSfBS3H0fPg,235400
48,0.509,0.817,-5.472,0.0502,0.000439,5.56e-06,0.0947,0.597,155.199,5dJqHtAc4toOPTRX9xfOB6,237573
49,0.543,0.948,-3.841,0.0596,1.9e-05,0.144,0.196,0.642,117.998,69uzV9BQmNLPIu0dWK4Tbe,133353
50,0.409,0.969,-2.423,0.0706,0.00435,0.000124,0.0602,0.5,166.02,63JU4kHsgytIKkSM4tedme,216860
51,0.555,0.832,-5.96,0.0323,0.00967,2.94e-05,0.132,0.3,155.061,5g9I9uYUcbvtkAuZXjqGfP,161592
52,0.328,0.904,-5.063,0.0455,4.31e-05,0.064,0.11,0.516,186.253,2yYASbXnAV71CLbNY1HCWf,190573
53,0.326,0.894,-9.558,0.0443,0.00035,0.0,0.435,0.664,165.193,0KEhlgtlk0HuqBIqfGCGdF,227200
54,0.52,0.981,-2.75,0.0906,0.000867,0.00177,0.197,0.633,158.937,1INksmStBpxdNlBzwGUvsg,240572
55,0.384,0.921,-3.609,0.0489,0.0125,0.108,0.152,0.446,171.036,3SevJWsbqUOpfPOpRZGrP9,225787
56,0.343,0.961,-2.271,0.0688,0.00187,2.7e-06,0.236,0.449,166.983,70nKt5OKAbXwlRrKsrf1oq,201557
57,0.595,0.919,-5.109,0.0831,0.00338,0.000386,0.337,0.532,129.955,7jKziCSFvitg68mOsTd7RL,210133
58,0.312,0.975,-4.628,0.0853,0.000667,1.15e-06,0.133,0.37,178.117,5LQN7c99Q8gvmh6xJcTZgj,207547
59,0.433,0.985,-3.358,0.242,0.000687,0.0,0.403,0.327,100.223,3WsgkhWH001sMkbZVcjreS,193107
60,0.542,0.905,-5.653,0.054,0.00172,0.0104,0.136,0.374,153.398,5A1FmxbYVRZKy4nc16MAue,203347
61,0.643,0.849,-5.428,0.0526,0.0371,0.0,0.058,0.903,162.152,6GG73Jik4jUlQCkKg9JuGO,165853
62,0.579,0.558,-6.986,0.0895,0.0202,1.26e-06,0.212,0.506,179.949,7nzsY8vlnKdvGOEE0rjAXZ,207357
63,0.489,0.649,-5.11,0.0336,0.000603,0.713,0.101,0.77,158.009,57Xjny5yNzAcsxnusKmAfA,219827
64,0.426,0.888,-3.72,0.0987,0.000455,0.0,0.306,0.387,144.111,0M3adYbGtyRHACP86dey1H,191520
65,0.412,0.919,-7.291,0.184,0.0124,0.0601,0.424,0.572,166.367,0tZ3mElWcr74OOhKEiNz1x,229467
66,0.324,0.938,-7.332,0.102,0.032,0.0321,0.0961,0.543,168.131,0Puj4YlTm6xNzDDADXHMI9,178440
67,0.356,0.872,-7.837,0.068,0.00417,0.00975,0.0997,0.607,166.3,5G1sTBGbZT5o4PNRc75RKI,193653
68,0.577,0.604,-5.703,0.0495,0.000218,0.000579,0.477,0.637,167.719,6tsojOQ5wHaIjKqIryLZK6,263440
69,0.246,0.768,-7.48,0.0387,0.000631,0.301,0.102,0.35,169.873,6KtLECDztnah63TNmV4Plw,212733
70,0.437,0.94,-6.946,0.0426,0.0524,0.000573,0.222,0.48,151.417,4NnWuGQujzWUEg0uZokO5M,212013
71,0.411,0.986,-2.522,0.0583,0.000264,0.00148,0.371,0.649,165.981,5BB0Jzw60KyfSTyjJqtely,205960
72,0.451,0.951,-3.754,0.0645,0.00038,2.39e-06,0.261,0.442,162.065,3agtg0x11wPvLIWkYR39nZ,213933
73,0.58,0.894,-6.382,0.042,0.000136,0.369,0.286,0.566,125.596,3GcVQCRSaPNupmf65YKyQI,185960
74,0.426,0.929,-6.729,0.0701,0.00162,0.105,0.0789,0.539,127.059,1MQTmpYOZ6fcMQc56Hdo7T,205600
75,0.648,0.937,-3.977,0.0892,0.000539,0.0,0.0555,0.679,91.469,0cJFobGkaiupCsOfE2eBZ1,196840
